Date,Met Station,Dental College,Townhall,EPA Gulberg,Mobile Barkat Market,Mobile Gulberg,DHA Phase 8,Dha Phase 6,Akbar Chok,Green Town,College Road,QA Industrial Estate,Townhall,Gajjumata,Dillu Kurd,Samad Parel,Bubtian Chok,Green Fort,Rafaqat Chok,Shahdarah Chok,Atarti Industrial Estate,Kamahan Ashyana,Kot Lakhpat,Mobile Qurtaba,Shimla Pahari,Wagha Town,Bedian Road,UOP,TNB
10/30/2019,115.451,237.469,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2019,124.48,275.16,,82.436,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2019,37.824,96.947,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/2019,26.851,64.312,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/2019,36.627,104.961,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/2019,35.56,108.251,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/2019,14.69,44.706,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2019,25.284,79.672,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/7/2019,22.889,81.349,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2019,22.933,69.371,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/9/2019,29.64,95.358,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2019,23.595,76.628,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/2019,32.394,87.255,,,,,,,,,,,,,,,,,,,,,,,,,,,
